fbus,tbus,branch_x,branch_flowlimit
1,2,0.0999,151
1,3,0.0424,151
4,5,0.00798,176
3,5,0.108,175
5,6,0.054,176
6,7,0.0208,176
8,9,0.0305,711
8,5,0.0267,1099
9,10,0.0322,710
4,11,0.0688,151
5,11,0.0682,152
11,12,0.0196,151
2,12,0.0616,151
3,12,0.16,151
7,12,0.034,164
11,13,0.0731,151
12,14,0.0707,151
13,15,0.2444,115
14,15,0.195,144
12,16,0.0834,164
15,17,0.0437,151
16,17,0.1801,158
17,18,0.0505,167
18,19,0.0493,173
19,20,0.117,178
15,19,0.0394,151
20,21,0.0849,177
21,22,0.097,178
22,23,0.159,178
23,24,0.0492,158
23,25,0.08,186
26,25,0.0382,768
25,27,0.163,177
27,28,0.0855,174
28,29,0.0943,165
30,17,0.0388,756
8,30,0.0504,580
26,30,0.086,340
17,31,0.1563,151
29,31,0.0331,146
23,32,0.1153,158
31,32,0.0985,151
27,32,0.0755,151
15,33,0.1244,150
19,34,0.247,114
35,36,0.0102,176
35,37,0.0497,175
33,37,0.142,154
34,36,0.0268,146
34,37,0.0094,159
38,37,0.0375,783
37,39,0.106,151
37,40,0.168,140
30,38,0.054,542
39,40,0.0605,151
40,41,0.0487,152
40,42,0.183,151
41,42,0.135,151
43,44,0.2454,117
34,43,0.1681,167
44,45,0.0901,166
45,46,0.1356,153
46,47,0.127,152
46,48,0.189,148
47,49,0.0625,150
42,49,0.323,89
42,49,0.323,89
45,49,0.186,138
48,49,0.0505,140
49,50,0.0752,140
49,51,0.137,140
51,52,0.0588,142
52,53,0.1635,166
53,54,0.122,177
49,54,0.289,99
49,54,0.291,97
54,55,0.0707,169
54,56,0.00955,155
55,56,0.0151,146
56,57,0.0966,140
50,57,0.134,140
56,58,0.0966,140
51,58,0.0719,140
54,59,0.2293,125
56,59,0.251,112
56,59,0.239,117
55,59,0.2158,133
59,60,0.145,176
59,61,0.15,176
60,61,0.0135,186
60,62,0.0561,176
61,62,0.0376,176
63,59,0.0386,760
63,64,0.02,687
64,61,0.0268,1095
38,65,0.0986,297
64,65,0.0302,675
49,66,0.0919,186
49,66,0.0919,186
62,66,0.218,132
62,67,0.117,176
65,66,0.037,793
66,67,0.1015,176
65,68,0.016,686
47,69,0.2778,102
49,69,0.324,87
68,69,0.037,793
69,70,0.127,170
24,70,0.4115,72
70,71,0.0355,166
24,72,0.196,146
71,72,0.18,159
71,73,0.0454,188
70,74,0.1323,151
70,75,0.141,151
69,75,0.122,145
74,75,0.0406,151
76,77,0.148,152
69,77,0.101,150
75,77,0.1999,141
77,78,0.0124,151
78,79,0.0244,174
77,80,0.0485,141
77,80,0.105,157
79,80,0.0704,175
68,81,0.0202,684
81,80,0.037,793
77,82,0.0853,141
82,83,0.03665,150
83,84,0.132,122
83,85,0.148,154
84,85,0.0641,122
85,86,0.123,156
86,87,0.2074,141
85,88,0.102,186
85,89,0.173,168
88,89,0.0712,186
89,90,0.188,151
89,90,0.0997,169
90,91,0.0836,151
89,92,0.0505,186
89,92,0.1581,166
91,92,0.1272,151
92,93,0.0848,151
92,94,0.158,151
93,94,0.0732,151
94,95,0.0434,151
80,96,0.182,159
82,96,0.053,150
94,96,0.0869,149
80,97,0.0934,186
80,98,0.108,176
80,99,0.206,140
92,100,0.295,98
94,100,0.058,150
95,96,0.0547,149
96,97,0.0885,186
98,100,0.179,160
99,100,0.0813,175
100,101,0.1262,176
92,102,0.0559,176
101,102,0.112,176
100,103,0.0525,151
100,104,0.204,141
103,104,0.1584,153
103,105,0.1625,145
100,106,0.229,124
104,105,0.0378,161
105,106,0.0547,164
105,107,0.183,154
105,108,0.0703,137
106,107,0.183,154
108,109,0.0288,138
103,110,0.1813,159
109,110,0.0762,138
110,111,0.0755,154
110,112,0.064,135
17,113,0.0301,151
32,113,0.203,139
32,114,0.0612,176
27,115,0.0741,175
114,115,0.0104,175
68,116,0.00405,7218
12,117,0.14,170
75,118,0.0481,151
76,118,0.0544,151
