1,0,0,1,0,1,1,0,1,1,0,0,0,0.88913,0,0.85123,0.99753,0,0
1,0,0,1,0,1,1,0,1,1,0,0,0,0.71973,0,0.82564,0.99576,0,0
1,0,0,1,0,1,1,0,1,1,0,0,0,0.6823,0,0.81631,0.98818,0,0
1,0,0,1,0,1,1,0,1,1,0,0,0.031522,0.98853,0,0.91301,1,0,0
1,0,0,1,0,1,1,0,1,1,0,0,0.0039921,0.92259,0,0.84321,1,0,0
1,0,0,1,0,1,1,0,1,1,0,0,0.035353,0.97415,0,0.81257,0.97486,0,0
1,0,0,1,0,1,1,0,1,1,0,0,0,0.8793,0,0.86026,0.96192,0,0
0.81107,0,0,1,0,1,1,0,1,1,0,0,0,0.97248,0,0.85514,1,0,0
0.81665,0,0,1,0,1,1,0,1,1,0,0,0,0.94737,0,0.84807,1,0,0
0.76088,0,0,1,0,1,1,0,1,1,0,0,0,0.88954,0,0.84568,1,0,0
0.82687,0,0,1,0,1,1,0,1,1,0,0,0,0.954,0,0.78712,1,0,0
0.79594,0,0,1,0,1,1,0,1,1,0,0,0,0.98919,0,0.82553,1,0,0
1,0,0,1,0,1,1,0,1,1,0,0,0,0.74758,0,0.88999,0.9873,0,0
1,0,0,1,0,1,1,0,1,1,0,0,0.049849,0.9042,0,0.89874,0.98839,0,0
1,0,0,1,0,1,1,0,1,1,0,0,0,0.923,0,0.81054,0.99025,0,0
1,0,0,1,0,1,1,0,1,1,0,0,0.090831,1,0,0.7931,0.96766,0,0
1,0,0,1,0,1,1,0,1,1,0,0,0.072314,0.97764,0,0.79768,1,0,0
1,0,0,1,0,1,1,0,1,1,0,0,0.039142,0.97039,0,0.82531,1,0,0
1,0,0,1,0,1,1,0,1,1,0,0,0,0.79199,0,0.83892,0.96848,0,0
0.90125,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0.89628,1,0,0
0.88752,0,0,1,0,1,1,0,1,1,0,0,0,0.99551,0,0.88173,1,0,0
0.8166,0,0,1,0,1,1,0,1,1,0,0,0,0.99493,0,0.83447,1,0,0
0.92295,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0.85078,1,0,0
0.87214,0,0,1,0,1,1,0,1,1,0,0,0,0.98082,0,0.89192,1,0,0
0.91261,0,0,1,0,1,1,0,1,1,0,0,0,0.95239,0,0.85225,1,0,0
1,0,0,1,0,1,1,0,1,1,0,0,0,0.78813,0,0.90363,0.9855,0,0
1,0,0,1,0,1,1,0,1,1,0,0,0.037488,0.97877,0,0.87207,0.9962,0,0
0.70469,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0.87227,1,0,0
1,0,0,1,0,1,1,0,1,1,0,0,0.011722,0.91892,0,0.85469,0.99351,0,0
